matrix_code,item,sub_item,obs_month,value,unit,vintage
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-12-01,27.491,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-12-01,8.4,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1997-01-01,27.39,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1997-01-01,27.49,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1997-01-01,27.435,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1997-01-01,8.4,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1997-02-01,27.46,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1997-02-01,27.56,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1997-02-01,27.525,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1997-02-01,8.4,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1997-03-01,27.5,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1997-03-01,27.6,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1997-03-01,27.538,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1997-03-01,8.65,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1997-04-01,27.61,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1997-04-01,27.71,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1997-04-01,27.662,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1997-04-01,8.65,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1997-05-01,27.81,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1997-05-01,27.91,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1997-05-01,27.842,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1997-05-01,8.65,pct_pa,2026-08-27
