basis,flows_are_ytd,foreign_investments,obs_month,reporting_channel,retrieved_at,source_doc,source_id,source_note,source_url,total_assets,vintage
disclosed,False,22178229,2023-10-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年10月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/10),112-10,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202312261610340.pdf&filedisplay=112年10月重要指標_Value.pdf&flag=doc,35080302,2023-12-26
disclosed,False,21908713,2023-11-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年11月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/11),112-11,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202402011105400.pdf&filedisplay=112年11月重要指標_Value.pdf&flag=doc,34865637,2024-02-01
disclosed,False,21857675,2023-12-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年12月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/12),112-12,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202403201441350.pdf&filedisplay=112年12月重要指標.pdf&flag=doc,34903250,2024-03-20
disclosed,False,22148007,2024-02-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 113年2月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2024/02),113-02,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202404290859170.pdf&filedisplay=113年2月重要指標_Value.pdf&flag=doc,35470325,2024-04-29
disclosed,False,22380340,2024-03-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 113年3月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2024/03),113-03,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202405271405120.pdf&filedisplay=113年3月重要指標_Value.pdf&flag=doc,35945664,2024-05-27
disclosed,False,22623534,2024-04-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 113年4月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2024/04),113-04,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202406281423410.pdf&filedisplay=113年4月重要指標_Value.pdf&flag=doc,36167532,2024-06-28
disclosed,False,22716676,2024-05-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 113年5月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2024/05),113-05,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202408071129260.pdf&filedisplay=113年5月重要指標_Value.pdf&flag=doc,36235942,2024-08-07
disclosed,False,22779663,2024-06-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 113年6月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2024/06),113-06,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202409091107190.pdf&filedisplay=113年6月重要指標_Value.pdf&flag=doc,36483646,2024-09-09
disclosed,False,23006512,2024-07-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 113年7月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2024/07),113-07,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202409260849590.pdf&filedisplay=113年7月重要指標_Value.pdf&flag=doc,36780494,2024-09-26
disclosed,False,22740024,2024-08-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 113年8月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2024/08),113-08,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202410251706470.pdf&filedisplay=113年8月重要指標_Value.pdf&flag=doc,36305326,2024-10-25
